id,task_name,task_description,code,test_input_1,test_input_2,ground_truth_1,ground_truth_2
0,Fibonacci sequence,"The Fibonacci sequence is a sequence Fn of natural numbers defined recursively:
    F0 = 0 
    F1 = 1 
    Fn = Fn-1 + Fn-2, if n>1 
Task
Write a function to generate the nth Fibonacci number.
Solutions can be iterative or recursive (though recursive solutions are generally considered too slow and are mostly used as an exercise in recursion).
The sequence is sometimes extended into negative numbers by using a straightforward inverse of the positive definition:
    Fn = Fn+2 - Fn+1, if n<0   
support for negative n in the solution is optional.
","
fib(1, 1) :- !.
fib(0, 0) :- !.
fib(N, Value) :-
  A is N - 1, fib(A, A1),
  B is N - 2, fib(B, B1),
  Value is A1 + B1.
","fib(20, F).","fib(10, F).","[{'F': 6765}]","[{'F': 55}]"
1,Sieve of Eratosthenes,"
The Sieve of Eratosthenes is a simple algorithm that finds the prime numbers up to a given integer.

Task

Implement the Sieve of Eratosthenes algorithm, with the only allowed optimization that the outer loop can stop at the square root of the limit, and the inner loop may start at the square of the prime just found.
That means especially that you shouldn't optimize by using pre-computed wheels, i.e. don't assume you need only to cross out odd numbers (wheel based on 2), numbers equal to 1 or 5 modulo 6 (wheel based on 2 and 3), or similar wheels based on low primes.
If there's an easy way to add such a wheel based optimization, implement it as an alternative version.
Note
It is important that the sieve algorithm be the actual algorithm used to find prime numbers for the task.","primes(N, L) :- numlist(2, N, Xs),
sieve(Xs, L).
sieve([H|T], [H|X]) :- H2 is H + H, 
filter(H, H2, T, R),
sieve(R, X).
sieve([], []).
filter(_, _, [], []).
filter(H, H2, [H1|T], R) :- 
( H1 < H2 -> R = [H1|R1], filter(H, H2, T, R1);
H3 is H2 + H,
( H1 =:= H2  -> filter(H, H3, T, R);filter(H, H3, [H1|T], R) ) ).","primes(10, Primes).","primes(30, Primes).","[{'Primes': [2, 3, 5, 7]}]","[{'Primes': [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]}]"
2,Sorting algorithms/Quicksort,"
Sorting Algorithm
This is a sorting algorithm. It may be applied to a set of data in order to sort it.

Task

Sort an array (or list) elements using the quicksort algorithm.
The elements must have a strict weak order and the index of the array can be of any discrete type.
For languages where this is not possible, sort an array of integers.
Quicksort, also known as partition-exchange sort, uses these steps.
- Choose any element of the array to be the pivot.
- Divide all other elements (except the pivot) into two partitions.
- All elements less than the pivot must be in the first partition.
- All elements greater than the pivot must be in the second partition.
- Use recursion to sort both partitions.
- Join the first sorted partition, the pivot, and the second sorted partition.
The best pivot creates partitions of equal length (or lengths differing by 1).
The worst pivot creates an empty partition (for example, if the pivot is the first or last element of a sorted array).
The run-time of Quicksort ranges from O(n log n) with the best pivots, to O(n2) with the worst pivots, where n is the number of elements in the array.","qsort( [], [] ).
qsort( [H|U], S ) :- splitBy(H, U, L, R), qsort(L, SL), qsort(R, SR), append(SL, [H|SR], S).
% splitBy( H, U, LS, RS )
% True if LS = { L in U | L <= H }; RS = { R in U | R > H }
splitBy( _, [], [], []).
splitBy( H, [U|T], [U|LS], RS ) :- U =< H, splitBy(H, T, LS, RS).
splitBy( H, [U|T], LS, [U|RS] ) :- U  > H, splitBy(H, T, LS, RS).
","qsort([3, 1, 4, 1, 5, 9, 2, 6, 5, 3, 5], Sorted).","qsort([9, 8, 7, 6, 5, 4, 3, 2, 1], Sorted).","[{'Sorted': [1, 1, 2, 3, 3, 4, 5, 5, 5, 6, 9]}]","[{'Sorted': [1, 2, 3, 4, 5, 6, 7, 8, 9]}]"
3,Binary search,"A binary search divides a range of values into halves, and continues to narrow down the field of search until the unknown value is found. It is the classic example of a ""divide and conquer"" algorithm.
As an analogy, consider the children's game ""guess a number."" The scorer has a secret number, and will only tell the player if their guessed number is higher than, lower than, or equal to the secret number. The player then uses this information to guess a new number.
As the player, an optimal strategy for the general case is to start by choosing the range's midpoint as the guess, and then asking whether the guess was higher, lower, or equal to the secret number. If the guess was too high, one would select the point exactly between the range midpoint and the beginning of the range. If the original guess was too low, one would ask about the point exactly between the range midpoint and the end of the range. This process repeats until one has reached the secret number.

Task

Given the starting point of a range, the ending point of a range, and the ""secret value"", implement a binary search through a sorted integer array for a certain number. Implementations can be recursive or iterative (both if you can). Print out whether or not the number was in the array afterwards. If it was, print the index also.
There are several binary search algorithms commonly seen. They differ by how they treat multiple values equal to the given value, and whether they indicate whether the element was found or not. For completeness we will present pseudocode for all of them.
All of the following code examples use an ""inclusive"" upper bound (i.e. high = N-1 initially). Any of the examples can be converted into an equivalent example using ""exclusive"" upper bound (i.e. high = N initially) by making the following simple changes (which simply increase high by 1):
change high = N-1 to high = N
change high = mid-1 to high = mid
(for recursive algorithm) change if (high < low) to if (high <= low)
(for iterative algorithm) change while (low <= high) to while (low < high)","% Binary search with correct parameter order
bin_search(List, Elt, Result):-
  length(List, N), 
  bin_search_inner(Elt, List, 1, N, Result).
 
bin_search_inner(Elt, List, J, J, J):-
  nth1(J, List, Elt).
bin_search_inner(Elt, List, Begin, End, Mid):-
  Begin < End,
  Mid is (Begin+End) div 2,
  nth1(Mid, List, Elt).
bin_search_inner(Elt, List, Begin, End, Result):-
  Begin < End,
  Mid is (Begin+End) div 2,
  nth1(Mid, List, MidElt),
  MidElt < Elt,
  NewBegin is Mid+1,
  bin_search_inner(Elt, List, NewBegin, End, Result).
bin_search_inner(Elt, List, Begin, End, Result):-
  Begin < End,
  Mid is (Begin+End) div 2,
  nth1(Mid, List, MidElt),
  MidElt > Elt,
  NewEnd is Mid-1,
  bin_search_inner(Elt, List, Begin, NewEnd, Result).","bin_search([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 7, Position).","bin_search([10, 20, 30, 40, 50, 60, 70, 80, 90, 100], 55, Position).",[{'Position': 7}],[]
4,Greatest common divisor,"Greatest common divisor
You are encouraged to solve this task according to the task description, using any language you may know.

Task

Find the greatest common divisor (GCD) of two integers.Greatest common divisor is also known as greatest common factor (gcf) and greatest common measure.","gcd(X, 0, X):- !.
gcd(0, X, X):- !.
gcd(X, Y, D):- X > Y, !, Z is X mod Y, gcd(Y, Z, D).
gcd(X, Y, D):- Z is Y mod X, gcd(X, Z, D).","gcd(1071, 462, GCD).","gcd(35, 49, GCD).","[{'GCD': 21}]","[{'GCD': 7}]"
5,Factorial,"Definitions
The factorial of 0 (zero) is defined as being 1 (unity).
The Factorial Function of a positive integer, n, is defined as the product of the sequence: n, n-1, n-2, ... 1 

Task

Write a function to return the factorial of a number.
Solutions can be iterative or recursive.
Support for trapping negative n errors is optional.","fact(X, 1) :- X < 2.
fact(X, F) :- X >= 2, Y is X-1, fact(Y, Z), F is Z*X.","fact(10, F).","fact(5, F).","[{'F': 3628800}]","[{'F': 120}]"
6,Towers of Hanoi,"Task
Solve the Towers of Hanoi problem with recursion.","hanoi(N) :- move(N,left,center,right).
move(0,_,_,_) :- !.
move(N,A,B,C) :-
    M is N-1,
    move(M,A,C,B),
    inform(A,B),
    move(M,C,B,A).
inform(X,Y) :- write([move,a,disk,from,the,X,pole,to,Y,pole]), nl.","hanoi(4).","hanoi(3).","[{'result': 'true'}]","[{'result': 'true'}]"
7,Palindrome detection,"A palindrome is a phrase which reads the same backward and forward.
Task
Write a function or program that checks whether a given sequence of characters (or, if you prefer, bytes) is a palindrome.","palindrome(Word) :- name(Word,List), reverse(List,List).","palindrome(""racecar"").","palindrome(""A man a plan a canal Panama"").","[{'result':'true'}]","[{'result':'false'}]"
8,Prime decomposition,"The prime decomposition of a number is defined as a list of prime numbers
which when all multiplied together, are equal to that number.
Example
12 = 2 × 2 × 3,  so its prime decomposition is  {2, 2, 3}

Task

Write a function which returns an array or collection which contains the prime decomposition of a given number n greater than 1.
If your language does not have an isPrime-like function available, you may assume that you have a function which determines whether a number is prime (note its name before your code).
","prime_decomp(N, L) :-
    SN is sqrt(N),
    prime_decomp_1(N, SN, 2, [], L).
prime_decomp_1(1, _, _, L, L) :- !.
% Special case for 2, increment 1
prime_decomp_1(N, SN, D, L, LF) :-
    (   0 is N mod D ->
        Q is N / D,
        SQ is sqrt(Q),
        prime_decomp_1(Q, SQ, D, [D |L], LF)
    ;
        D1 is D+1,
        (   D1 > SN ->
            LF = [N |L]
        ;
            prime_decomp_2(N, SN, D1, L, LF)
        )
    ).
% General case, increment 2
prime_decomp_2(1, _, _, L, L) :- !.
prime_decomp_2(N, SN, D, L, LF) :-
    (   0 is N mod D ->
        Q is N / D,
        SQ is sqrt(Q),
        prime_decomp_2(Q, SQ, D, [D |L], LF);
        D1 is D+2,
        (   D1 > SN ->
            LF = [N |L]
        ;
            prime_decomp_2(N, SN, D1, L, LF)
        )
    ).","prime_decomp(60, Factors).","prime_decomp(123456, Factors).","[{'Factors': [5, 3, 2, 2]}]","[{'Factors': [643, 3, 2, 2, 2, 2, 2, 2]}]"
9,Dijkstra's algorithm,"Dijkstra's algorithm, conceived by Dutch computer scientist Edsger Dijkstra in 1956 and published in 1959, is a graph search algorithm that solves the single-source shortest path problem for a graph with non-negative edge path costs, producing a shortest path tree.
This algorithm is often used in routing and as a subroutine in other graph algorithms.
For a given source vertex (node) in the graph, the algorithm finds the path with lowest cost (i.e. the shortest path) between that vertex and every other vertex.
For instance
If the vertices of the graph represent cities and edge path costs represent driving distances between pairs of cities connected by a direct road, Dijkstra's algorithm can be used to find the shortest route between one city and all other cities.
Important note
The inputs to Dijkstra's algorithm are a directed and weighted graph consisting of 2 or more nodes, generally represented by:
an adjacency matrix or list and a start node. 
A destination node is not specified.
The output is a set of edges depicting the shortest path to each destination node.

Task

Implement a version of Dijkstra's algorithm that outputs a set of edges depicting the shortest path to each reachable node from an origin.
Run your program with the following directed graph starting at node a.
Write a program which interprets the output from the above and use it to output the shortest path from node a to nodes e and  f. 
","rpath([target|reversed_path], distance)","rpath([e,d,c,b,a], 10).","rpath([goal,node3,node2,node1,start], 15).","[{'result':'false'}]","[{'result':'false'}]"
