match,question,sum,mean,match_1,match_2,match_3,match_4,gen_code_1,gen_code_2,gen_code_3,gen_code_4
True,"The Fibonacci sequence is a sequence Fn of natural numbers defined recursively:
    F0 = 0 
    F1 = 1 
    Fn = Fn-1 + Fn-2, if n>1 
Task
Write a function to generate the nth Fibonacci number.
Solutions can be iterative or recursive (though recursive solutions are generally considered too slow and are mostly used as an exercise in recursion).
The sequence is sometimes extended into negative numbers by using a straightforward inverse of the positive definition:
    Fn = Fn+2 - Fn+1, if n<0   
support for negative n in the solution is optional.

Test the algorithm on input 20",4,1.0,1,1,1,1,"<reasoning>
Fibonacci sequence
</reasoning>
<code>
fib(0, 0).
fib(1, 1).
fib(N, F) :- N > 1, N1 is N-1, N2 is N-2, fib(N1, F1), fib(N2, F2), F is F1 + F2.
</code>
<query>
fib(20, X).
</query>","<reasoning>
Fibonacci sequence
</reasoning>
<code>
fib(0, 0).
fib(1, 1).
fib(N, F) :- N > 1, N1 is N-1, N2 is N-2, fib(N1, F1), fib(N2, F2), F is F1 + F2.
</code>
<query>
fib(20, X).
</query>","<reasoning>
Fibonacci sequence
</reasoning>
<code>
fib(0, 0).
fib(1, 1).
fib(N, F) :- N > 1, N1 is N-1, N2 is N-2, fib(N1, F1), fib(N2, F2), F is F1 + F2.
</code>
<query>
fib(20, X).
</query>","<reasoning>
Fibonacci sequence
</reasoning>
<code>
fib(0, 0).
fib(1, 1).
fib(N, F) :- N > 1, N1 is N-1, N2 is N-2, fib(N1, F1), fib(N2, F2), F is F1 + F2.
</code>
<query>
fib(20, X).
</query>"
False,"
The Sieve of Eratosthenes is a simple algorithm that finds the prime numbers up to a given integer.

Task

Implement the Sieve of Eratosthenes algorithm, with the only allowed optimization that the outer loop can stop at the square root of the limit, and the inner loop may start at the square of the prime just found.
That means especially that you shouldn't optimize by using pre-computed wheels, i.e. don't assume you need only to cross out odd numbers (wheel based on 2), numbers equal to 1 or 5 modulo 6 (wheel based on 2 and 3), or similar wheels based on low primes.
If there's an easy way to add such a wheel based optimization, implement it as an alternative version.
Note
It is important that the sieve algorithm be the actual algorithm used to find prime numbers for the task.
Test the algorithm on input 10",0,0.0,0,0,0,0,"<reasoning>
Sieve of Eratosthenes
</reasoning>
<code>
sieve(N, L) :- sieve(N, 2, L).
sieve(N, P, L) :-
    P * P > N, !,
    L = [P | [X | L1]],
    sieve(N, X, L1).
sieve(N, P, L) :-
    P * P =< N,
    sieve(N, P1, L1),
    P1 is P + 1,
    sieve(N, P1, L).
</code>
<query>
sieve(10, L).
</query>","<reasoning>
Sieve of Eratosthenes
</reasoning>
<code>
sieve(N, L) :- sieve(N, 2, L).

sieve(N, P, L) :-
    P * P > N,
    !,
    L = [P|[]].

sieve(N, P, L) :-
    P * P =< N,
    sieve(N, P1, L1),
    L = [P|L1],
    P1 is P + 1,
    sieve(N, P1, L2),
    L1 = L2.
</code>
<query>
sieve(10, L).
</query>","<reasoning>
Sieve of Eratosthenes
</reasoning>
<code>
sieve(N, L) :- sieve(N, 2, L).
sieve(N, P, L) :-
    P * P > N, !,
    L = [P | [X | L1]],
    sieve(N, X, L1).
sieve(N, P, L) :-
    P * P =< N,
    sieve(N, P1, L1),
    P1 is P + 1,
    sieve(N, P1, L).
</code>
<query>
sieve(10, L).
</query>","<reasoning>
Sieve of Eratosthenes
</reasoning>
<code>
sieve(N, L) :- sieve(N, 2, L).
sieve(N, P, L) :-
    P * P > N, !,
    L = [P | [X | L1]],
    sieve(N, X, L1).
sieve(N, P, L) :-
    P * P =< N,
    sieve(N, P1, L1),
    P1 is P + 1,
    sieve(N, P1, L).
</code>
<query>
sieve(10, L).
</query>"
True,"
Sorting Algorithm
This is a sorting algorithm. It may be applied to a set of data in order to sort it.

Task

Sort an array (or list) elements using the quicksort algorithm.
The elements must have a strict weak order and the index of the array can be of any discrete type.
For languages where this is not possible, sort an array of integers.
Quicksort, also known as partition-exchange sort, uses these steps.
- Choose any element of the array to be the pivot.
- Divide all other elements (except the pivot) into two partitions.
- All elements less than the pivot must be in the first partition.
- All elements greater than the pivot must be in the second partition.
- Use recursion to sort both partitions.
- Join the first sorted partition, the pivot, and the second sorted partition.
The best pivot creates partitions of equal length (or lengths differing by 1).
The worst pivot creates an empty partition (for example, if the pivot is the first or last element of a sorted array).
The run-time of Quicksort ranges from O(n log n) with the best pivots, to O(n2) with the worst pivots, where n is the number of elements in the array.
Test the algorithm on input [3, 1, 4, 1, 5, 9, 2, 6, 5, 3, 5]",1,0.25,0,0,1,0,"<reasoning>
Quicksort implementation
</reasoning>
<code>
quicksort([], []).
quicksort([H|T], S) :-
    partition(T, H, L, G),
    quicksort(L, SL),
    quicksort(G, SG),
    append(SL, [H|SG], S).

partition([], _, [], []).
partition([H|T], P, L, G) :-
    (H < P -> L1 = [H|L], G1 = G ; L1 = L, G1 = [H|G]),
    partition(T, P, L1, G1).
</code>
<query>
quicksort([3, 1, 4, 1, 5, 9, 2, 6, 5, 3, 5], S).
</query>","<reasoning>
Quicksort implementation
</reasoning>
<code>
qsort([]).
qsort([H|T]):- partition(T, H, L, G), qsort(L), qsort(G).

partition([], _, [], []).
partition([H|T], P, L, G):- (H =< P -> L=[H|LL], G=GG ; L=LL, G=[H|GG]), partition(T, P, LL, GG).
</code>
<query>
qsort([3, 1, 4, 1, 5, 9, 2, 6, 5, 3, 5]).
</query>","<reasoning>
Quicksort implementation
</reasoning>
<code>
quicksort([], []).
quicksort([H|T], S) :-
    partition(T, H, L, G),
    quicksort(L, SL),
    quicksort(G, SG),
    append(SL, [H|SG], S).

partition([], _, [], []).
partition([H|T], P, L, G) :-
    (H =< P -> L = [H|LL], G = GG ; L = LL, G = [H|GG]),
    partition(T, P, LL, GG).
</code>
<query>
quicksort([3, 1, 4, 1, 5, 9, 2, 6, 5, 3, 5], S).
</query>","<reasoning>
Quicksort implementation
</reasoning>
<code>
quicksort([]).
quicksort([H|T]):- partition(T, H, L, G), quicksort(L), quicksort(G).

partition([], _, [], []).
partition([H|T], P, L, G):- (H =< P -> L=[H|LL], G=GG ; L=LL, G=[H|GG]), partition(T, P, LL, GG).
</code>
<query>
quicksort([3, 1, 4, 1, 5, 9, 2, 6, 5, 3, 5], X).
</query>"
False,"A binary search divides a range of values into halves, and continues to narrow down the field of search until the unknown value is found. It is the classic example of a ""divide and conquer"" algorithm.
As an analogy, consider the children's game ""guess a number."" The scorer has a secret number, and will only tell the player if their guessed number is higher than, lower than, or equal to the secret number. The player then uses this information to guess a new number.
As the player, an optimal strategy for the general case is to start by choosing the range's midpoint as the guess, and then asking whether the guess was higher, lower, or equal to the secret number. If the guess was too high, one would select the point exactly between the range midpoint and the beginning of the range. If the original guess was too low, one would ask about the point exactly between the range midpoint and the end of the range. This process repeats until one has reached the secret number.

Task

Given the starting point of a range, the ending point of a range, and the ""secret value"", implement a binary search through a sorted integer array for a certain number. Implementations can be recursive or iterative (both if you can). Print out whether or not the number was in the array afterwards. If it was, print the index also.
There are several binary search algorithms commonly seen. They differ by how they treat multiple values equal to the given value, and whether they indicate whether the element was found or not. For completeness we will present pseudocode for all of them.
All of the following code examples use an ""inclusive"" upper bound (i.e. high = N-1 initially). Any of the examples can be converted into an equivalent example using ""exclusive"" upper bound (i.e. high = N initially) by making the following simple changes (which simply increase high by 1):
change high = N-1 to high = N
change high = mid-1 to high = mid
(for recursive algorithm) change if (high < low) to if (high <= low)
(for iterative algorithm) change while (low <= high) to while (low < high)
Test the algorithm on input [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0,0.0,0,0,0,0,"<reasoning>
Binary search implementation
</reasoning>
<code>
binary_search(X, L, H, M) :-
    L =< H,
    M is (L + H) // 2,
    (   L =:= H, X =:= L -> write('Found at index '), write(M), nl
    ;   X < L, write('Not found'), nl
    ;   X > H, write('Not found'), nl
    ;   X =:= M -> write('Found at index '), write(M), nl
    ;   X < M, binary_search(X, L, M-1, M)
    ;   X > M, binary_search(X, M+1, H, M)
    ).
</code>
<query>
binary_search(5, 1, 10, 0).
</query>","<reasoning>
Binary search implementation
</reasoning>
<code>
binary_search(X, L, H, M) :-
    M is (L + H) // 2,
    (   L > H -> write('Not Found')
    ;   X = L -> write('Found at index 0')
    ;   X = H -> write('Found at index '), write(H)
    ;   X < L -> write('Not Found')
    ;   X < H -> (L1 is M + 1, binary_search(X, L1, H, M1))
    ;   X > H -> (H1 is M - 1, binary_search(X, L, H1, M2))
    ).
</code>
<query>
binary_search(5, 1, 10, M).
</query>","<reasoning>
Binary search implementation
</reasoning>
<code>
binary_search(X, L, H, M) :-
    M is (L + H) // 2,
    (   L > H -> write('Not Found')
    ;   X = L -> write('Found at index 0')
    ;   X = H -> write('Found at index '), write(H)
    ;   X < L -> write('Not Found')
    ;   X < H -> (L < M -> binary_search(X, L, M-1, M1), write('Found at index '), write(M1)
                 ;   binary_search(X, M+1, H, M2), write('Found at index '), write(M2))
    ).
</code>
<query>
binary_search(5, 1, 10, 0).
</query>","<reasoning>
Binary search implementation
</reasoning>
<code>
binary_search(X, L, H, M) :-
    M is (L + H) // 2,
    (   L > H -> write('Not Found')
    ;   X = L -> write('Found at index 0')
    ;   X = H -> write('Found at index '), write(H)
    ;   X < L -> write('Not Found')
    ;   X < H -> (   X < M -> binary_search(X, L, M-1, M)
                 ;   X > M -> binary_search(X, M+1, H, M)
                 )
    ).
</code>
<query>
binary_search(5, 1, 10, 0).
</query>"
True,"Greatest common divisor
You are encouraged to solve this task according to the task description, using any language you may know.

Task

Find the greatest common divisor (GCD) of two integers.Greatest common divisor is also known as greatest common factor (gcf) and greatest common measure.
Test the algorithm on input (1071, 462)",4,1.0,1,1,1,1,"<reasoning>
GCD using Euclid's algorithm
</reasoning>
<code>
gcd(X, 0, X) :- X > 0.
gcd(X, Y, G) :-
    Y > 0,
    R is X mod Y,
    gcd(Y, R, G).
</code>
<query>
gcd(1071, 462, G).
</query>","<reasoning>
GCD using Euclid's algorithm
</reasoning>
<code>
gcd(X, 0, X) :- X >= 0.
gcd(X, Y, G) :-
    Y > 0,
    R is X mod Y,
    gcd(Y, R, G).
</code>
<query>
gcd(1071, 462, G).
</query>","<reasoning>
GCD using Euclid's algorithm
</reasoning>
<code>
gcd(X, 0, X) :- X > 0.
gcd(X, Y, G) :-
    Y > 0,
    R is X mod Y,
    gcd(Y, R, G).
</code>
<query>
gcd(1071, 462, G).
</query>","<reasoning>
GCD using Euclid's algorithm
</reasoning>
<code>
gcd(A, 0, A) :- A > 0.
gcd(A, B, G) :- A > 0, B > 0, R is A mod B, gcd(B, R, G).
</code>
<query>
gcd(1071, 462, G).
</query>"
True,"Definitions
The factorial of 0 (zero) is defined as being 1 (unity).
The Factorial Function of a positive integer, n, is defined as the product of the sequence: n, n-1, n-2, ... 1 

Task

Write a function to return the factorial of a number.
Solutions can be iterative or recursive.
Support for trapping negative n errors is optional.
Test the algorithm on input 10",2,0.5,1,0,0,1,"<reasoning>
Factorial function
</reasoning>
<code>
factorial(0, 1).
factorial(N, F) :- N > 0, N1 is N - 1, factorial(N1, F1), F is N * F1.
</code>
<query>
factorial(10, X).
</query>","<reasoning>
Factorial calculation
</reasoning>
<code>
factorial(0, 1).
factorial(N, F) :- N > 0, F is N * factorial(N-1).
</code>
<query>
factorial(10, X).
</query>","<reasoning>
Factorial calculation
</reasoning>
<code>
factorial(0, 1).
factorial(N, F) :- N > 0, F is N * factorial(N-1).
</code>
<query>
factorial(10, X).
</query>","<reasoning>
Factorial calculation
</reasoning>
<code>
factorial(0, 1).
factorial(N, F) :- N > 0, N1 is N - 1, factorial(N1, F1), F is N * F1.
</code>
<query>
factorial(10, X).
</query>"
False,"Task
Solve the Towers of Hanoi problem with recursion.
Test the algorithm on input 4",0,0.0,0,0,0,0,"<reasoning>
Towers of Hanoi problem
</reasoning>
<code>
hanoi(0, _, _, _) :- !.
hanoi(N, A, B, C) :-
    M is N - 1,
    hanoi(M, A, C, B),
    move(N, A, C),
    hanoi(M, B, A, C).
move(1, A, C) :- write('Move disk 1 from '), write(A), write(' to '), write(C), nl.
</code>
<query>
hanoi(4, 'A', 'B', 'C').
</query>","<reasoning>
Towers of Hanoi problem
</reasoning>
<code>
hanoi(0, _, _, _) :- !.
hanoi(N, A, B, C) :-
    M is N - 1,
    hanoi(M, A, C, B),
    move(N, A, C),
    hanoi(M, B, A, C).
move(1, A, C) :- write('Move disk 1 from '), write(A), write(' to '), write(C), nl.
</code>
<query>
hanoi(4, 'A', 'B', 'C').
</query>","<reasoning>
Towers of Hanoi problem
</reasoning>
<code>
hanoi(0, _, _, _) :- !.
hanoi(N, A, B, C) :-
    M is N - 1,
    hanoi(M, A, C, B),
    move(N, A, C),
    hanoi(M, B, A, C).
move(1, A, C) :- write('Move disk 1 from '), write(A), write(' to '), write(C), nl.
</code>
<query>
hanoi(4, 'A', 'B', 'C').
</query>","<reasoning>
Towers of Hanoi problem
</reasoning>
<code>
hanoi(0, _, _, _) :- !.
hanoi(N, A, B, C) :-
    M is N - 1,
    hanoi(M, A, C, B),
    move(N, A, C),
    hanoi(M, B, A, C).
move(1, A, C) :- write('Move disk 1 from '), write(A), write(' to '), write(C), nl.
</code>
<query>
hanoi(4, 'A', 'B', 'C').
</query>"
False,"A palindrome is a phrase which reads the same backward and forward.
Task
Write a function or program that checks whether a given sequence of characters (or, if you prefer, bytes) is a palindrome.
Test the algorithm on input racecar",0,0.0,0,0,0,0,"<reasoning>
Palindrome checker
</reasoning>
<code>
palindrome(X) :- reverse(X, X).
</code>
<query>
palindrome(racecar).
</query>","<reasoning>
Palindrome check
</reasoning>
<code>
palindrome(X) :- reverse(X, X).
</code>
<query>
palindrome(racecar).
</query>","<reasoning>
Palindrome check
</reasoning>
<code>
palindrome(X) :- reverse(X, X).
</code>
<query>
palindrome(racecar).
</query>","<reasoning>
Palindrome checker
</reasoning>
<code>
palindrome(X) :- reverse(X, X).
</code>
<query>
palindrome(racecar).
</query>"
False,"The prime decomposition of a number is defined as a list of prime numbers
which when all multiplied together, are equal to that number.
Example
12 = 2 × 2 × 3,  so its prime decomposition is  {2, 2, 3}

Task

Write a function which returns an array or collection which contains the prime decomposition of a given number n greater than 1.
If your language does not have an isPrime-like function available, you may assume that you have a function which determines whether a number is prime (note its name before your code).

Test the algorithm on input 60",0,0.0,0,0,0,0,"<reasoning>
Prime decomposition
</reasoning>
<code>
primeDecomp(N, L) :- primeDecomp(N, 2, L).

primeDecomp(1, _, []).
primeDecomp(N, P, [P|L]) :- 0 is N mod P, NewN is N div P, primeDecomp(NewN, P, L).
primeDecomp(N, P, L) :- P*P > N, L = [N].
</code>
<query>
primeDecomp(60, L).
</query>","<reasoning>
Prime decomposition
</reasoning>
<code>
primeDecomp(N, L) :- primeDecomp(N, 2, L).

primeDecomp(1, _, []).
primeDecomp(N, P, [P|T]) :- 0 is N mod P, NewN is N div P, primeDecomp(NewN, P, T).
primeDecomp(N, P, [P|T]) :- N mod P =\= 0, NextP is P + 1, primeDecomp(N, NextP, T).
</code>
<query>
primeDecomp(60, L).
</query>","<reasoning>
Prime decomposition
</reasoning>
<code>
primeDecomp(N, L) :- primeDecomp(N, 2, L).

primeDecomp(1, _, []).
primeDecomp(N, P, [P|T]) :- 0 is N mod P, NewN is N div P, primeDecomp(NewN, P, T).
primeDecomp(N, P, [P|T]) :- N mod P =\= 0, NextP is P + 1, primeDecomp(N, NextP, T).
</code>
<query>
primeDecomp(60, L).
</query>","<reasoning>
Prime decomposition
</reasoning>
<code>
primeDecomp(N, L) :- primeDecomp(N, 2, L).

primeDecomp(1, _, []).
primeDecomp(N, P, [P|T]) :-
    0 is N mod P,
    NewN is N div P,
    primeDecomp(NewN, P, T).
primeDecomp(N, P, [P|T]) :-
    N mod P =\= 0,
    NextP is P + 1,
    primeDecomp(N, NextP, T).
</code>
<query>
primeDecomp(60, L).
</query>"
False,"Dijkstra's algorithm, conceived by Dutch computer scientist Edsger Dijkstra in 1956 and published in 1959, is a graph search algorithm that solves the single-source shortest path problem for a graph with non-negative edge path costs, producing a shortest path tree.
This algorithm is often used in routing and as a subroutine in other graph algorithms.
For a given source vertex (node) in the graph, the algorithm finds the path with lowest cost (i.e. the shortest path) between that vertex and every other vertex.
For instance
If the vertices of the graph represent cities and edge path costs represent driving distances between pairs of cities connected by a direct road, Dijkstra's algorithm can be used to find the shortest route between one city and all other cities.
Important note
The inputs to Dijkstra's algorithm are a directed and weighted graph consisting of 2 or more nodes, generally represented by:
an adjacency matrix or list and a start node. 
A destination node is not specified.
The output is a set of edges depicting the shortest path to each destination node.

Task

Implement a version of Dijkstra's algorithm that outputs a set of edges depicting the shortest path to each reachable node from an origin.
Run your program with the following directed graph starting at node a.
Write a program which interprets the output from the above and use it to output the shortest path from node a to nodes e and  f. 

Test the algorithm on input go(a,e).",0,0.0,0,0,0,0,"<reasoning>
Dijkstra's algorithm
</reasoning>
<code>
dijkstra(A, B, Path, Cost) :-
    dijkstra(A, B, [], 0, Path, Cost).

dijkstra(A, A, Path, Cost, Path, Cost).
dijkstra(A, B, Visited, Cost, Path, Cost) :-
    findall((N, C), (edge(A, N, C), not(member(N, Visited))), Edges),
    select((N, C), Edges, Remaining),
    NewCost is Cost + C,
    dijkstra(N, B, [N|Visited], NewCost, [N|Path], Cost).

edge(a, b, 1).
edge(a, c, 4).
edge(b, c, 2).
edge(b, d, 5).
edge(c, d, 1).
edge(c, e, 5).
edge(d, e, 3).
edge(d, f, 6).
edge(e, f, 2).
</code>
<query>
go(a,e).
</query>","<reasoning>
Dijkstra's algorithm
</reasoning>
<code>
dijkstra(A, D, P) :-
    findall((X, Y, Z), edge(X, Y, Z), Edges),
    dijkstra(A, Edges, D, P).

dijkstra(_, [], D, D) :- !.
dijkstra(A, [(_, _, _)|T], D, P) :-
    dijkstra(A, T, D, P).

edge(a, b, 1).
edge(a, c, 4).
edge(b, c, 2).
edge(b, d, 5).
edge(c, d, 1).
edge(c, e, 5).
edge(d, e, 3).
edge(d, f, 6).
edge(e, f, 2).
</code>
<query>
go(a,e).
</query>","<reasoning>
Dijkstra's algorithm
</reasoning>
<code>
dijkstra(A, D, P) :-
    findall((X, Y, Z), edge(X, Y, Z), Edges),
    dijkstra_helper(Edges, A, D, P).

dijkstra_helper([], _, D, D).
dijkstra_helper([(_, _, _)|T], A, D, P) :-
    dijkstra_helper(T, A, D, P).

edge(a, b, 1).
edge(a, c, 4).
edge(b, c, 2).
edge(b, d, 5).
edge(c, d, 1).
edge(c, e, 5).
edge(d, e, 3).
edge(d, f, 6).
edge(e, f, 2).
</code>
<query>
go(a,e).
</query>","<reasoning>
Dijkstra's algorithm
</reasoning>
<code>
dijkstra(A, D, P) :-
    dijkstra(A, D, P, [], []).
dijkstra(A, D, P, Visited, Path) :-
    findall((B, C), edge(A, B, C), Edges),
    select((B, C), Edges, Remaining),
    (   member(B, Visited)
    ->  dijkstra(A, D, P, Visited, Path)
    ;   append(Path, [(A, B, C)], NewPath),
        append(Visited, [B], NewVisited),
        dijkstra(B, D, P, NewVisited, NewPath)
    ).
</code>
<query>
go(a,e).
</query>"
